Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/home.html,40784,5148,760.0,18703.580986651803,1.6971950099105015,135568.39368399233,269.9961749705767,208.75556116813152,26.35037340362743,760,1800,3700,8200,125000,131000,132000,133000,134000,136000,136000
,Aggregated,40784,5148,760.0,18703.580986651803,1.6971950099105015,135568.39368399233,269.9961749705767,208.75556116813152,26.35037340362743,760,1800,3700,8200,125000,131000,132000,133000,134000,136000,136000
